NCBI.ID.x,Type,Color
NC_010622,label,#7FC97F
NC_010622,label,#7FC97F
NC_010623,label,#7FC97F
NC_010623,label,#7FC97F
NC_010623,label,#7FC97F
NC_010623,label,#7FC97F
NC_010628,label,#B3CDE3
NC_010628,label,#B3CDE3
NC_010628,label,#B3CDE3
NC_010628,label,#B3CDE3
NC_010628,label,#B3CDE3
NC_010628,label,#B3CDE3
NC_010628,label,#B3CDE3
NC_010634,label,#7FC97F
NC_010634,label,#7FC97F
NC_010634,label,#7FC97F
NC_010676,label,#7FC97F
NC_010676,label,#7FC97F
NC_010676,label,#7FC97F
NC_010676,label,#7FC97F
NC_010676,label,#7FC97F
NC_010676,label,#7FC97F
NC_010676,label,#7FC97F
NC_010677,label,#7FC97F
NC_010678,label,#7FC97F
NC_010678,label,#7FC97F
NC_010678,label,#7FC97F
NC_010681,label,#7FC97F
NC_010681,label,#7FC97F
NC_010681,label,#7FC97F
NC_010681,label,#7FC97F
NC_010681,label,#7FC97F
NC_010681,label,#7FC97F
NC_010681,label,#7FC97F
NC_010682,label,#7FC97F
NC_010682,label,#7FC97F
NC_010682,label,#7FC97F
NC_010688,label,#7FC97F
NC_010694,label,#7FC97F
NC_010694,label,#7FC97F
NC_010694,label,#7FC97F
NC_010694,label,#7FC97F
NC_010694,label,#7FC97F
NC_010694,label,#7FC97F
NC_010725,label,#7FC97F
NC_010725,label,#7FC97F
NC_010725,label,#7FC97F
