"OTU ID in (Rideout et al., 2014)",Phylum,RefSoil ID,Andisols,Gelisols,Vertisols,Mollisols,Inceptisols,Alfisols,Ultisols,"Sand,Rock,Ice",Entisols
New.59.CleanUp.ReferenceOTU14056,Acidobacteria,RefSoil_122,0,0,0,3,0,0,0,0,0
New.59.CleanUp.ReferenceOTU36879,Proteobacteria,"RefSoil_216,RefSoil_911",0,0,0,20,0,0,0,0,0
New.59.CleanUp.ReferenceOTU71157,Actinobacteria,RefSoil_563,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU167926,Proteobacteria,RefSoil_876,0,0,0,15,0,0,0,0,0
New.59.CleanUp.ReferenceOTU219830,Acidobacteria,RefSoil_477,0,0,0,4,0,0,0,0,0
New.59.CleanUp.ReferenceOTU220271,Cyanobacteria/Chloroplast,RefSoil_23,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU288665,Proteobacteria,RefSoil_903,0,0,0,7,0,0,0,0,0
New.59.CleanUp.ReferenceOTU294692,Actinobacteria,RefSoil_660,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU385905,Actinobacteria,RefSoil_108,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU403605,Verrucomicrobia,RefSoil_246,0,0,0,14,0,0,0,0,0
New.59.CleanUp.ReferenceOTU406055,Proteobacteria,"RefSoil_274,RefSoil_454",0,0,0,8,0,0,0,0,0
New.59.CleanUp.ReferenceOTU454412,Proteobacteria,"RefSoil_255,RefSoil_457,RefSoil_684,RefSoil_913",0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU512154,Proteobacteria,RefSoil_206,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU568386,Proteobacteria,RefSoil_467,0,0,0,3,0,0,0,0,0
New.59.CleanUp.ReferenceOTU582834,Actinobacteria,"RefSoil_134,RefSoil_437",0,0,0,55,0,0,0,0,0
New.59.CleanUp.ReferenceOTU602796,Proteobacteria,RefSoil_353,0,0,0,7,0,0,0,0,0
New.59.CleanUp.ReferenceOTU610900,Proteobacteria,"RefSoil_50,RefSoil_697,RefSoil_895",0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU733275,Actinobacteria,RefSoil_348,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU785688,Bacteroidetes,RefSoil_131,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU792497,Acidobacteria,RefSoil_144,0,0,0,17,0,0,0,0,0
New.59.CleanUp.ReferenceOTU829841,Actinobacteria,RefSoil_487,0,0,0,4,0,0,0,0,0
New.59.CleanUp.ReferenceOTU859884,Proteobacteria,"RefSoil_89,RefSoil_909",0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU873917,Proteobacteria,RefSoil_803,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU874861,Actinobacteria,RefSoil_325,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU905875,Proteobacteria,RefSoil_100,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU920903,Proteobacteria,"RefSoil_252,RefSoil_769",0,0,0,9,0,0,0,0,0
New.59.CleanUp.ReferenceOTU990105,Proteobacteria,"RefSoil_428,RefSoil_567",0,0,0,23,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1055532,Proteobacteria,RefSoil_189,0,0,0,7,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1069293,Actinobacteria,RefSoil_379,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1072262,Actinobacteria,"RefSoil_317,RefSoil_844",0,0,0,7,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1150846,Proteobacteria,RefSoil_836,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1221851,Gemmatimonadetes,RefSoil_315,0,0,0,5,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1253833,Cyanobacteria/Chloroplast,RefSoil_711,0,0,0,9,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1260109,Actinobacteria,RefSoil_184,0,0,0,3,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1330879,Actinobacteria,"RefSoil_125,RefSoil_154,RefSoil_167",0,0,0,10,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1385911,Proteobacteria,RefSoil_282,0,0,0,97,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1396002,Cyanobacteria/Chloroplast,RefSoil_253,0,0,0,3,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1399481,Proteobacteria,RefSoil_388,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1407014,Actinobacteria,RefSoil_367,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1481861,Bacteroidetes,RefSoil_530,0,0,0,3,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1505721,Actinobacteria,RefSoil_365,0,0,0,2,0,0,0,0,0
New.59.CleanUp.ReferenceOTU1527812,Proteobacteria,RefSoil_905,0,0,0,4,0,0,0,0,0
