DATASET_TEXT
SEPARATOR COMMA
DATASET_LABEL,phylum name
COLOR,#ff0000

#the following fields are possible for each node:
#ID,label,position,color,style,size_factor,rotation

#position defines the position of the text label on the tree:
#  -1 = external label
#  a number between 0 and 1 = internal label positioned at the specified value along the node branch (for example, position 0 is exactly at the start of node branch, position 0.5 is in the middle, and position 1 is at the end)
#style can be 'normal',''bold','italic' or 'bold-italic'
#size factor will be multiplied with the standard font size

DATA
#NCBI.ID.x,Phylum,outside,Color,font,size
NC_008508,Spirochaetes,-1,#F0027F,normal,1
NC_008508,Spirochaetes,-1,#F0027F,normal,1
NC_008510,Spirochaetes,-1,#F0027F,normal,1
NC_008510,Spirochaetes,-1,#F0027F,normal,1
NC_008536,Acidobacteria,-1,#FDB462,normal,1
NC_008536,Acidobacteria,-1,#FDB462,normal,1
NC_008541,Actinobacteria,-1,#F4CAE4,normal,1
NC_008541,Actinobacteria,-1,#F4CAE4,normal,1
NC_008541,Actinobacteria,-1,#F4CAE4,normal,1
NC_008541,Actinobacteria,-1,#F4CAE4,normal,1
NC_008542,Proteobacteria,-1,#7FC97F,normal,1
NC_008542,Proteobacteria,-1,#7FC97F,normal,1
NC_008542,Proteobacteria,-1,#7FC97F,normal,1
NC_008542,Proteobacteria,-1,#7FC97F,normal,1
NC_008542,Proteobacteria,-1,#7FC97F,normal,1
NC_008543,Proteobacteria,-1,#7FC97F,normal,1
NC_008543,Proteobacteria,-1,#7FC97F,normal,1
NC_008543,Proteobacteria,-1,#7FC97F,normal,1
NC_008543,Proteobacteria,-1,#7FC97F,normal,1
NC_008543,Proteobacteria,-1,#7FC97F,normal,1
NC_008544,Proteobacteria,-1,#7FC97F,normal,1
NC_008544,Proteobacteria,-1,#7FC97F,normal,1
NC_008544,Proteobacteria,-1,#7FC97F,normal,1
NC_008544,Proteobacteria,-1,#7FC97F,normal,1
NC_008544,Proteobacteria,-1,#7FC97F,normal,1
NC_008593,Firmicutes,-1,#E6AB02,normal,1
NC_008595,Actinobacteria,-1,#F4CAE4,normal,1
NC_008595,Actinobacteria,-1,#F4CAE4,normal,1
NC_008595,Actinobacteria,-1,#F4CAE4,normal,1
NC_008609,Proteobacteria,-1,#7FC97F,normal,1
